"","Country","Year","Score"
"1","China",2021,52.5372533527457
"2","China",2020,52.5100133251535
"3","China",2019,52.6657883328482
"4","China",2018,52.6730642672153
"5","China",2017,52.813930170114
"6","China",2016,52.8965804413306
"7","China",2015,53.0067195597704
"8","China",2014,52.9153429770941
"9","China",2013,52.3131855387402
"10","China",2012,52.2361258114949
"11","China",2011,52.1346844576596
"12","China",2010,52.1247818906087
"13","China",2009,52.1676848551514
"14","China",2008,52.2301432883199
"15","China",2007,52.2601880013012
"16","China",2006,52.5362546346957
"17","China",2005,52.796630014587
"18","China",2004,52.7726661353388
"19","China",2003,53.0757473278367
"20","China",2002,54.2787479385671
"21","China",2001,54.4117673345036
"22","China",2000,54.970431663781
"23","China",1999,55.4041346750828
"24","China",1998,55.3750250454349
"25","China",1997,55.5916124731158
"26","China",1996,55.7594555320254
"27","China",1995,55.7357411196854
"28","China",1994,56.1101480771177
"29","China",1993,56.6182476115171
"30","China",1992,56.7164585623291
"31","China",1991,56.3133629856163
"32","China",1990,55.2619987721213
"33","China",1989,55.8748072632681
"34","China",1988,55.2943526716741
"35","China",1987,55.0561432572147
"36","China",1986,55.8755983208564
"37","China",1985,57.2782941112328
"38","China",1984,58.1890533845586
"39","China",1983,58.7099998312465
"40","China",1982,59.1724047911408
"41","China",1981,59.8243254949667
"42","China",1980,60.7198708880982
"43","China",1979,60.8917840474915
"44","China",1978,61.264352724133
"45","China",1977,60.8526215033652
"46","China",1976,59.7834578739331
"47","China",1975,60.0174322883433
"48","China",1974,59.9000494256381
"49","China",1973,59.8882263608925
"50","China",1972,60.6706184843209
"51","China",1971,60.1240255006881
"52","China",1970,59.5346145942177
"53","China",1969,60.2535297852269
"54","China",1968,60.0458752440628
"55","China",1967,59.9742750267013
"56","China",1966,59.8309182326104
"57","China",1965,59.1039752705235
"58","China",1964,60.0314909351389
"59","China",1963,59.3734472788333
"60","China",1962,59.1995938233486
"61","China",1961,58.8271580312327
"62","China",1960,57.5280301911347
"63","China",1959,55.2359486381349
"64","China",1958,52.7523050227121
"65","China",1957,51.9236438624046
"66","China",1956,51.6655043173119
"67","China",1955,51.6689335239607
"68","China",1954,51.580729396323
"69","China",1953,51.5455224558674
"70","China",1952,51.5200079618596
"71","China",1951,51.4715714235216
"72","China",1950,51.4740328431738
"73","Norway",2021,45.3309298154917
"74","Norway",2020,45.3583535984193
"75","Norway",2019,45.3345749942261
"76","Norway",2018,45.3108504405239
"77","Norway",2017,45.3144834320799
"78","Norway",2016,45.364318862817
"79","Norway",2015,45.320200664791
"80","Norway",2014,45.3159104913811
"81","Norway",2013,45.3354613875098
"82","Norway",2012,45.3330631886396
"83","Norway",2011,45.3164394668051
"84","Norway",2010,45.3264997240169
"85","Norway",2009,45.4061498410278
"86","Norway",2008,45.4885938278216
"87","Norway",2007,45.4587092137546
"88","Norway",2006,45.4495753535215
"89","Norway",2005,45.454930375428
"90","Norway",2004,45.485313475826
"91","Norway",2003,45.5414201162738
"92","Norway",2002,45.6555180349446
"93","Norway",2001,45.6131799894258
"94","Norway",2000,45.4752245384173
"95","Norway",1999,45.484627115743
"96","Norway",1998,45.5355585088473
"97","Norway",1997,45.4455414557215
"98","Norway",1996,45.380096329378
"99","Norway",1995,45.3201338298494
"100","Norway",1994,45.3650361260223
"101","Norway",1993,45.3103651157595
"102","Norway",1992,45.3084027645294
"103","Norway",1991,45.2580753366248
"104","Norway",1990,45.2260518935103
"105","Norway",1989,45.2468239756118
"106","Norway",1988,45.4953310689654
"107","Norway",1987,45.6727295652332
"108","Norway",1986,45.4420839278812
"109","Norway",1985,45.6350298674586
"110","Norway",1984,45.6073801053029
"111","Norway",1983,45.9328166952191
"112","Norway",1982,46.145397527563
"113","Norway",1981,46.3202351276798
"114","Norway",1980,46.6698329166316
"115","Norway",1979,46.4881976025702
"116","Norway",1978,46.381270453605
"117","Norway",1977,46.6593936362258
"118","Norway",1976,47.0978257678136
"119","Norway",1975,47.3280327474136
"120","Norway",1974,47.6080998943189
"121","Norway",1973,47.9818654534812
"122","Norway",1972,47.9416036324675
"123","Norway",1971,47.8532954094915
"124","Norway",1970,48.1206962475
"125","Norway",1969,48.2568562066511
"126","Norway",1968,48.3304862268493
"127","Norway",1967,48.3835023916981
"128","Norway",1966,48.40196112
"129","Norway",1965,48.4342486645545
"130","Norway",1964,48.4616474128453
"131","Norway",1963,48.46718196
"132","Norway",1962,48.46718196
"133","Norway",1961,48.46718196
"134","Norway",1960,48.46718196
"135","Norway",1959,48.46718196
"136","Norway",1958,0
"137","Norway",1957,48.46718196
"138","Norway",1956,0
"139","Norway",1955,0
"140","Norway",1954,0
"141","Norway",1953,0
"142","Norway",1952,0
"143","Norway",1951,0
"144","Norway",1950,0
"145","Chile",2021,45.2371896196294
"146","Chile",2020,45.3167690714765
"147","Chile",2019,45.3138363305019
"148","Chile",2018,45.5094015958573
"149","Chile",2017,45.3821455112888
"150","Chile",2016,45.6043865765465
"151","Chile",2015,45.3595007175288
"152","Chile",2014,45.4788912604559
"153","Chile",2013,45.5686001727882
"154","Chile",2012,45.7649959494274
"155","Chile",2011,45.9594193120404
"156","Chile",2010,46.2462850561187
"157","Chile",2009,46.6650770649644
"158","Chile",2008,45.9112839238689
"159","Chile",2007,45.8986196125374
"160","Chile",2006,45.8112267060617
"161","Chile",2005,45.4890162538727
"162","Chile",2004,45.6725435158038
"163","Chile",2003,45.9718480364042
"164","Chile",2002,46.3916494614775
"165","Chile",2001,45.947966749629
"166","Chile",2000,45.6988720058662
"167","Chile",1999,45.7519490273191
"168","Chile",1998,47.0475440133768
"169","Chile",1997,48.0533435477018
"170","Chile",1996,48.449780477079
"171","Chile",1995,47.5908622199492
"172","Chile",1994,49.0722459626298
"173","Chile",1993,48.9986635088444
"174","Chile",1992,49.3980707976041
"175","Chile",1991,50.8667226421438
"176","Chile",1990,50.6682001743991
"177","Chile",1989,52.7107810056451
"178","Chile",1988,53.0563659103319
"179","Chile",1987,52.5139557743276
"180","Chile",1986,51.5681073786478
"181","Chile",1985,53.0972934970983
"182","Chile",1984,54.5433416820294
"183","Chile",1983,52.8856272101634
"184","Chile",1982,52.6166483170143
"185","Chile",1981,54.0368850092343
"186","Chile",1980,53.8809004620617
"187","Chile",1979,53.8473868737329
"188","Chile",1978,53.6231040148207
"189","Chile",1977,53.7316954305177
"190","Chile",1976,52.2365758877458
"191","Chile",1975,52.2276198296943
"192","Chile",1974,51.1990710561856
"193","Chile",1973,50.640032066
"194","Chile",1972,48.5780734904255
"195","Chile",1971,47.8154089387755
"196","Chile",1970,47.222912640678
"197","Chile",1969,47.0676596
"198","Chile",1968,47.0676596
"199","Chile",1967,47.0676596
"200","Chile",1966,47.0676596
"201","Chile",1965,47.0676596
"202","Chile",1964,47.0676596
"203","Chile",1963,47.0676596
"204","Chile",1962,47.0676596
"205","Chile",1961,47.0676596
"206","Chile",1960,47.0676596
"207","Chile",1959,47.0676596
"208","Chile",1958,47.0676596
"209","Chile",1957,47.0676596
"210","Chile",1956,47.0676596
"211","Chile",1955,47.0676596
"212","Chile",1954,47.0676596
"213","Chile",1953,47.0676596
"214","Chile",1952,47.0676596
"215","Chile",1951,47.0676596
"216","Chile",1950,47.0676596
"217","Nigeria",2021,43.3415850129134
"218","Nigeria",2020,43.3629736792706
"219","Nigeria",2019,43.3629737371948
"220","Nigeria",2018,43.2991633806859
"221","Nigeria",2017,43.4939889120386
"222","Nigeria",2016,43.7442621535886
"223","Nigeria",2015,43.7179805206773
"224","Nigeria",2014,43.7198841380097
"225","Nigeria",2013,43.433463582663
"226","Nigeria",2012,43.4834860264906
"227","Nigeria",2011,43.0296306293209
"228","Nigeria",2010,42.8439183233499
"229","Nigeria",2009,43.5626388600399
"230","Nigeria",2008,43.6574703490928
"231","Nigeria",2007,42.2256483277946
"232","Nigeria",2006,42.2254166434836
"233","Nigeria",2005,42.4505537651576
"234","Nigeria",2004,42.3079425695705
"235","Nigeria",2003,44.20483888219
"236","Nigeria",2002,44.967461057953
"237","Nigeria",2001,46.0022458799922
"238","Nigeria",2000,48.0220723259778
"239","Nigeria",1999,48.1962849217321
"240","Nigeria",1998,48.3432875899396
"241","Nigeria",1997,49.5175988681234
"242","Nigeria",1996,53.3798214232503
"243","Nigeria",1995,45.4103926932103
"244","Nigeria",1994,45.6774099059184
"245","Nigeria",1993,46.1133537092373
"246","Nigeria",1992,45.9661823496715
"247","Nigeria",1991,47.949648650521
"248","Nigeria",1990,48.5031838463957
"249","Nigeria",1989,50.2843415827252
"250","Nigeria",1988,51.0410811344771
"251","Nigeria",1987,48.1480092518452
"252","Nigeria",1986,48.1487130153905
"253","Nigeria",1985,47.8998663520242
"254","Nigeria",1984,48.2237368354613
"255","Nigeria",1983,48.0353482277472
"256","Nigeria",1982,47.9846493101852
"257","Nigeria",1981,47.9384037266677
"258","Nigeria",1980,47.8924806703423
"259","Nigeria",1979,47.8504640359296
"260","Nigeria",1978,47.8105383092634
"261","Nigeria",1977,47.7729604169114
"262","Nigeria",1976,47.7385592382774
"263","Nigeria",1975,47.7078474018147
"264","Nigeria",1974,47.6784967885651
"265","Nigeria",1973,47.6709510965753
"266","Nigeria",1972,47.6409567962532
"267","Nigeria",1971,47.6085763466011
"268","Nigeria",1970,47.5736422523267
"269","Nigeria",1969,47.49454085
"270","Nigeria",1968,47.49454085
"271","Nigeria",1967,47.49454085
"272","Nigeria",1966,47.49454085
"273","Nigeria",1965,47.49454085
"274","Nigeria",1964,47.49454085
"275","Nigeria",1963,47.49454085
"276","Nigeria",1962,47.49454085
"277","Nigeria",1961,47.49454085
"278","Nigeria",1960,47.49454085
"279","Nigeria",1959,47.49454085
"280","Nigeria",1958,47.49454085
"281","Nigeria",1957,47.49454085
"282","Nigeria",1956,47.49454085
"283","Nigeria",1955,47.49454085
"284","Nigeria",1954,47.49454085
"285","Nigeria",1953,47.49454085
"286","Nigeria",1952,47.49454085
"287","Nigeria",1951,47.49454085
"288","Nigeria",1950,47.49454085
