species,common_name,perc_mean,low,high
Carassius carassius,Crucian carp,58,52,80
Catla catla,Catla,60,58,80
Chanos chanos,Milkfish,60,58,80
Clarias gariepinus,African sharptooth catfish,60,58,80
Crassostrea virginica,Eastern oyster,26,11,51
Ctenopharyngodon idellus,Grass carp,60,58,80
Cyprinus carpio,Common carp,60,58,80
Dicentrarchus labrax,European seabass,51,50,80
Epinephelus coioides,Orange-spotted grouper,63,63,80
Eriocheir sinensis,Chinese mitten crab,22,20,27
Eucheuma denticulatum,Spiny eucheuma,34.5,31,100
Gracilaria gracilis,Ogonori,34.5,31,100
Hypophthalmichthys molitrix,Silver carp,60,58,80
Hypophthalmichthys nobilis,Bighead carp,60,58,80
Kappaphycus alvarezii,Elkhorn sea moss,34.5,31,100
Labeo rohita,Roho labeo,60,58,80
Laminaria japonica,Japanese kelp,34.5,31,100
Larimichthys croceus,Large yellow croaker,54,51,80
Lateolabrax japonicus,Japanese seabass,63,63,80
Lates calcarifer,Barramundi or Giant seaperch,58,52,80
Macrobrachium nipponense,Oriental river prawn,53,36,57
Macrobrachium rosenbergii,Giant river prawn,53,36,57
Magallana gigas,Pacific cupped oyster,26,11,51
Megalobrama amblycephala,Wuchang bream,60,58,80
Micropterus salmoides,Largemouth black bass,60,58,80
Mizuhopecten yessoensis,Yesso scallop or giant Ezo scallop,26,11,51
Mugil cephalus,Flathead grey mullet,60,58,80
Mylopharyngodon piceus,Black carp,51,50,80
Mytilus chilensis,Chilean mussel,26,11,51
Mytilus edulis,Blue mussel,26,11,51
Mytilus galloprovincialis,Mediterranean mussel,26,11,51
Oncorhynchus kisutch,Coho salmon,63,42,80
Oncorhynchus mykiss,Rainbow trout,60,58,80
Oreochromis niloticus,Nile tilapia,54,51,80
Pangasianodon hypophthalmus,Striped catfish,60,58,80
Penaeus monodon,Giant tiger prawn,53,36,57
Penaeus vannamei,Whiteleg shrimp,53,36,57
Perna canaliculus,New Zealand green-lipped mussel,26,11,51
Porphrya tenera,Nori (tenera),34.5,31,100
Porphyra haitanensis,Nori (haitanensis),34.5,31,100
Porphyra yezoensis,Nori (yezoensis),34.5,31,100
Procambarus clarkii,Red swamp crayfish,24,12,34
Ruditapes philippinarum,Japanese carpet shell,26,11,51
Salmo salar,Atlantic salmon,60,58,80
Sargassum fusiforme,Fusiform sargassum,34.5,31,100
Sciaenops ocellatus,Red drum,51,50,80
Scylla paramamosain,Green mud crab,22,20,27
Scylla serrata,Indo-Pacific swamp crab,22,20,27
Seriola quinqueradiata,Japanese amberjack,51,50,80
Sinonovacula constricta,Constricted tagelus,26,11,51
Sparus aurata,Gilthead seabream,58,52,80
Tegillarca granosa,Blood cockle,26,11,51
Trachinotus ovatus,Pompano,64,57,80
Undaria pinnatifida,Wakame,34.5,31,100