"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Carassius carassius","Crucian carp","Finfish",580,870,870,870,870,870,870,870,870,870,941.92,878.7,898.42,889.14,889.14,872.32,1199.44,1311.96,1382.14,1569.48,1400.7,1292.24,1534.1,1937.2,1769,1890.8,1754.5,1784.66,2169.78,2206.9,2476.02,2959.16,2593.76,2991.06,2723.1,2648.86,2778.78,2560.7,2843.74,2346.68,2317.1,2036.96,2101.34,2044.5,2623.92,2418.02,2053.2,2377.42,2397.72,2290.42,2275.92,1713.32,2463.84,2729.48,2293.9,1471.46,1169.86,1221.48,1041.68,972.9674,1203.9292,1276.1914,1182.1792,1352.6354,1706.8878,1426.0692,1689.221,2428.9588,2297.0726,3153.1294,3394.1194,3519.0514,3495.8166,3493.3226
"2","Chanos chanos","Milkfish","Finfish",35773.8,37655.4,40803,47194.2,48669.6,55668.6,55996.2,59698.2,68478,72169.8,73185,79287,77190,76034.4,81279.6,79236.6,85348.2,83502,96792,94618.8,100391.4,102939,100663.2,101770.2,110251.2,110677.2,110184,114454.8,118272,127091.4,147145.2,193360.2,213411.6,232140.6,212258.4,191374.2,186459,199438.8,207493.8,200097,260473.8,249912,206015.4,215407.2,228562.8,219399.6,222505.8,218599.2,227790,265063.2,280599.6,296964.24,316786.2,331249.8,344265,356896.2,351230.28,400509,405741.384,430644.396,485141.22,534844.218,565955.388,626507.238,624853.782,669056.844,716885.328,700421.964,796280.97,777920.886,770336.742,766996.248,735647.748,713361.624
"3","Clarias gariepinus","African sharptooth catfish","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,8.4,13.8,21.6,30.6,33.6,44.4,53.4,82.8,82.8,272.4,268.8,415.8,469.8,873,1361.4,3241.8,2989.2,3553.8,5790.6,3715.2,5982,5101.2,7611.6,10980,12892.8,15141.6,16162.2,25323.6,37491,54593.4,67938.6,124992.6,169689.12,184823.178,180174.78,178928.448,203582.82,210964.266,217842.414,205909.782,205275.312,217693.464,220518.936,224040.348,240131.292,236135.76,253752.63
"4","Crassostrea virginica","Eastern oyster","Bivalve",10710,12814.2,14914.2,14918.4,17022.6,21226.8,21226.8,21231,19135.2,23339.4,25439.4,25443.6,27547.8,33852,33856.2,31756.2,29660.4,33864.6,33868.8,29668.8,43218,42672,42021,41454,40937.4,54545.4,39753,35905.8,33910.8,28618.8,27951,36918,36354.36,35800.8,44137.38,41176.8,38458.56,34946.1,34050.66,33421.5,14503.86,29581.44,35659.68,31873.8,26635.14,32109,24995.88,27361.74,23408.28,24159.24,17918.04,18924.36,22744.68,30162.72,46478.04,26401.62,40629.54,39304.86,39191.88,39092.76,46974.06,30035.04,43283.94,45520.86,41233.5,41270.46,47600.7,47211.36,53551.26,62168.9166,52580.598,55435.6488,54189.093,54080.88
"5","Ctenopharyngodon idella","Grass carp","Finfish",6316.2,10996.8,12750.6,16926,25630.8,29420.4,31697.4,52136.4,51289.2,55251.6,46662.6,33385.8,30273.6,34545.6,38407.2,48828,49789.2,48156.6,46845.6,52704.6,55581.6,59244,60087.6,65056.2,69748.8,73881.6,74020.2,77476.2,78522,85676.4,93369.6,104740.8,122224.2,143721,180855.6,228187.8,279986.4,329710.8,369514.8,578154,632524.8,644478.6,755337.6,900022.2,1092327.6,1270901.4,1477099.8,1518181.2,1619008.2,1742012.4,1785894.6,1813174.2,1882001.4,1964399.4,1949459.4,2037940.794,2060600.034,2184479.7,2278816.284,2470962.054,2527871.652,2649537.834,2754543.87,2860269.006,3023180.04,3188856.48,3268673.964,3311883.306,3422989.878,3437926.668,3474297.372,3590113.296,3697044.894,3731107.842
"6","Cyprinus carpio","Common carp","Finfish",55569.6,54942,56437.2,62932.8,75556.2,81629.4,85528.2,96426,81815.4,95209.2,100915.8,104185.8,97455,103473,112095,118312.2,125456.4,133640.4,134584.2,137505.6,145051.2,151320,172788,183369,191430,211731.6,204417,213456,206243.4,213309,219142.8,249457.8,269550.6,287696.4,364318.8,408791.4,502407.6,628705.8,652650,605754,680606.4,610969.2,682075.2,791453.4,921543,1096422,1224768,1236240,1310898,1408366.2,1446235.2,1649804.4,1688113.2,1773660.6,1535766.6,1599789.69,1617124.896,1689826.008,1784624.724,1863485.022,1979565.576,1998934.182,2092734.564,2187728.946,2291421.258,2396218.626,2404814.712,2317731.264,2488016.322,2598693.42,2504059.566,2515212.078,2431837.416,2454809.952
"7","Dicentrarchus labrax","European seabass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,10.2,15.3,20.4,25.5,35.7,47.94,66.3,84.15,117.3,153,183.6,296.31,483.99,587.01,850.17,1144.95,1999.71,3439.44,5170.89,8573.61,8716.92,11354.13,13423.2,17254.32,22340.04,27487.98,36053.94,30796.35,29647.83,37462.56,37772.64,48472.44,50068.23,53281.74,59030.2968,57391.4373,68507.484,69647.2116,74588.7291,75073.1169,79521.2757,83353.9716,97583.3592,109941.6588,117821.6688,132536.7753,139489.4064,149547.6774,146968.4748,146353.5219
"8","Epinephelus coioides","Orange-spotted grouper","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.78,1.89,1.89,47.88,90.72,68.04,57.96,54.81,122.85,116.55,81.1503,94.4748,286.209,280.287,312.543,204.8067,231.3738,184.8924,223.3539,294.8085,326.3967,175.455,178.9137,154.3626
"9","Eriocheir sinensis","Chinese mitten crab","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991.5,1449.9,2529.9,2852.7,5292.3,9369,12454.8,18789.3,28136.1,33170.7,45394.5,60751.2,74444.1,88218.3,95386.5,107682.3,113512.8,131884.5,146843.7,155510.1,169478.4,171707.7,184084.62,195211.5,199087.188,216798.822,224205.69,224641.632,225300.921,227084.871,233620.008,232774.893,242487.825,244602.141,266595.579
"10","Eucheuma denticulatum","Spiny eucheuma","Algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,1035,1035,1157.82,1297.545,1454.52,2289.765,1431.405,1875.42,2280.45,2372.565,3047.385,2819.685,3809.145,4422.9,4980.075,8155.455,13855.2,13698.225,12786.39,13672.005,18340.89,21686.7,17550.84,21208.875,20097.63,29440.23,50298.93,65567.94,61385.505,54586.59,60206.64,54448.59,66097.3425,76391.28,77995.944,91610.265,94089.366,101597.325,82709.265,85533.09,96824.595,76410.945,69599.265,60892.91055,59830.3968,52445.589,65951.03835,75357.7359,102003.17955
"11","Gracilaria gracilis","Ogonori","Algae",103.5,103.5,103.5,138,138,138,138,172.5,172.5,172.5,172.5,172.5,172.5,172.5,207,215.625,223.905,239.085,254.61,270.135,286.35,376.74,397.095,437.115,474.375,523.71,577.185,667.23,846.975,984.63,1157.475,1376.55,1745.7,1116.765,3036,2595.78,2805.54,4132.41,8916.18,13417.05,15889.665,23018.055,20295.315,20586.84,26845.83,21811.59,41571.81,41027.055,28477.68,15647.82,19152.33,29525.79,32215.755,173755.8,283295.37,321948.48,363638.1075,439015.605,478358.715,521613.09,571714.68,724847.07,924906.36,1157591.61,1254374.667,1299621.9,1465834.02315,1440095.2947,1196147.5335,1635064.8135,1787243.82705,2047104.9513,2615495.6184,2422440.3666
"12","Hypophthalmichthys molitrix","Silver carp","Finfish",18016.8,31887.6,37002,49462.2,75406.8,86535,91923.6,152971.2,150093,161650.2,135852,95515.2,86663.4,99353.4,110847,142416,145486.8,139218.6,135969.6,152980.2,163122,174031.8,175777.2,186914.4,202090.2,215118,213758.4,224517,224989.2,242053.2,269650.2,304536,362570.4,425719.8,503343.6,652243.2,770446.2,862999.8,952614.6,874016.4,912281.4,883299.6,980929.2,1142332.8,1331482.8,1550232.6,1755294,1817104.2,1804108.2,1799795.4,1820844,2089597.8,2035357.8,2032309.8,2135769.6,2213978.394,2276071.878,2165819.25,2275359.432,2426296.92,2383179.756,2355749.178,2318304.972,2548578.222,2744144.832,2827827.018,2823452.052,2817556.488,2871388.68,2892318.012,2938902.804,2984201.034,3044369.298,3088630.932
"13","Hypophthalmichthys nobilis","Bighead carp","Finfish",9183.6,15352.8,18213.6,23803.8,35213.4,40053.6,42157.2,69452.4,68226,73480.2,61905,44029.8,40206.6,45733.8,50868,65131.8,66636,63810,62535.6,69996,74966.4,79884.6,80437.8,85705.8,92302.2,97896,97563.6,100465.8,101273.4,108558,119133.6,134979,157919.4,185194.8,229660.2,303982.2,373869.6,393320.4,438872.4,396494.4,409696.2,426733.8,480858,553928.4,648153.6,755717.4,852171,869892.6,857508,857166,863352.6,877111.2,907723.2,1007991.6,1101154.8,1157679.6,1249972.2,1311661.8,1405268.4,1466483.52,1508154.882,1547150.166,1598448.318,1683193.23,1783782.552,1865325.522,1907065.242,1897625.862,1893013.542,1895390.538,1912288.56,1940431.434,1992633.36,2049063.846
"14","Kappaphycus alvarezii","Elkhorn sea moss","Algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,345,345,345,345,345,1035,1035,1725,5520,4830,4140,7826.325,25878.105,32558.685,40754.85,25479.975,33379.44,40593.045,43618.35,56022.825,51839.355,67809.06,78729.345,82503.99,89440.215,87135.27,107317.425,123527.595,152035.98,193904.835,220415.325,217491.795,222306.615,227160.765,224065.08,248967.18,286991.355,323645.19,398617.899,442812.606,500484.462,514946.3445,576162.144,609183.24975,650032.4745,673666.75125,675903.4725,593868.924,588913.137,601884.6885,525279.9018,532147.77885,550264.9329,560818.84515,552317.70015,515836.04775,627865.20675,612181.3653
"15","Labeo catla","Catla","Finfish",2321.4,2574.6,2856,3167.4,3513.6,3897,4322.4,4794,5317.2,5898,6541.8,7255.8,8047.8,8927.4,9902.4,10983.6,12183.6,13515,14991,16629.6,18445.8,20462.4,22698,25179,27931.2,30984.6,34371.6,38129.4,42297.6,46921.8,52050.6,57741.6,64053,71054.4,77587.8,85500,93375,109050,124725,140400,141151.8,174742.8,180688.8,204885,211890.6,268700.4,321344.4,354926.4,333159,364777.8,361392,290814.6,338934.6,351052.2,712283.4,790483.2,836704.2,1280357.4,1184898.6,1223472.42,1515852,1193027.4,1356343.08,1365074.28,1360932.216,1388066.484,1505795.238,1625095.506,1873073.286,1972304.604,2124192.6,2270923.872,2487044.466,2687383.644
"16","Labeo rohita","Roho labeo","Finfish",2269.2,2519.4,2797.8,3105.6,3450.6,3834,4260,4741.2,5269.8,5861.4,6511.2,7245,8047.8,8948.4,9950.4,11076.6,12318.6,13708.8,15229.8,16939.8,18832.8,20937.6,23278.8,25861.8,28725.6,31922.4,35438.4,39468,43836.6,48741,54080.4,60087.6,66720,74074.8,81447.6,90204,98506.2,114046.2,130315.8,146321.4,146806.8,179458.8,198151.2,238911.6,253764,325418.4,386695.8,421402.8,396157.8,431209.8,440321.4,360739.8,401392.2,477987,829270.8,861516.6,981523.8,604305,714645,757387.32,679939.8,904651.926,939620.664,1007981.442,1001385.3,1071193.254,1105803.252,1178461.908,1216556.46,1196297.688,1490778.648,1546719.474,1661219.4,1872400.974
"17","Larimichthys crocea","Large yellow croaker","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27742.5,31822.74,32894.64,33753.78,33395.76,35627.58,35239.86,44967.96,41286.78,49219.92,54387.18,66017.16,76869.54,86145.66,95925.6,106909.2,121796.46,137193.48,137280.96,139148.82,151738.38
"18","Lateolabrax japonicus","Japanese seabass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.58,0,0,502.11,381.15,549.99,1263.78,44960.58,45607.59,50128.47,57786.75,64849.05,61585.02,65009.07,66007.62,74997.09,76926.78,78019.2,77999.1219,81726.12,92838.0537,104794.452,109330.6851,115931.0376,125600.7564,128229.8472,139938.4854,157603.1499
"19","Lates calcarifer","Barramundi or Giant seaperch","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,5.8,8.7,70.76,73.08,75.98,83.52,83.52,33.64,41.76,69.6,162.4,156.6,403.68,508.08,480.82,665.84,731.38,813.74,918.14,1583.4,954.68,1142.6,1606.02,2255.62,2284.62,4971.18,6490.78,8787.58,8197.14,11586.66,10768.28,10943.44,11004.92,9631.48,12141.14,13386.4,12171.88,15512.1,14612.52,16644.84,16755.04,18205.04,18863.92,20129.48,25156.224,28346.311,38683.0826,39763.3326,45262.1792,43936.2992,42796.0018,46363.2048,36986.9654,49336.4704,62963.1528,59424.277,70766.3568,84098.2484,94090.906,103726.1966
"20","Macrobrachium nipponense","Oriental river prawn","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45312.28,45089.2,44977.92,87948.12,95659.72,92202.24,100469.72,100046.44,106605.2,107120.52,113190.48,113155.64,112444.28,118725.88,121533.88,125096.92,123974.76,125184.28,121866.16,117166.92,118957.8,116694.76,117682.24,117723.84
"21","Macrobrachium rosenbergii","Giant river prawn","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,5.2,38.48,82.68,133.12,209.04,301.6,452.4,680.68,968.24,1487.72,2019.68,3097.12,3897.4,5854.16,5246.8,7218.64,12510.16,13393.12,13771.16,16037.84,19528.08,17175.6,15165.28,16747.64,18634.2,32221.28,34646.04,42670.16,52784.68,67958.28,89240.84,87482.72,87109.88,99582.34,101846.2432,103680.2104,117944.5332,113950.8448,115262.7112,100421.8748,101574.3404,103987.0364,100021.4176,105371.474,105318.2052,127383.2664,127492.2584,134126.5068,143317.2624,147675.45,163368.9512,175480.9524,185105.9184
"22","Magallana gigas","Pacific cupped oyster","Bivalve",62648.46,76700.4,84728.7,106694.28,90512.94,99262.38,104034.84,115918.74,113258.46,114459.24,126432.6,118061.16,134852.34,166577.04,154972.44,147608.58,150870.72,155892.66,165228.42,150414.18,131546.52,128051.7,164074.26,174820.38,156262.68,196643.58,212921.94,214134.06,213475.5,212841.72,246661.38,240211.02,242389.56,258191.64,267912.12,291555.18,300089.16,314509.86,321580.56,294136.92,288327.9,276634.68,288558.48,303469.32,261408.84,271199.04,269314.92,270931.5,252942.06,259063.77,260254.26,259793.73,256407.522,282922.5,287802.774,289731.33,294203.28,307329.12,269663.5284,269800.5618,270702.201,259365.939,256790.2722,235029.6522,263194.6338,243171.5328,244095.5328,274598.436,271959.0888,272294.127,255428.5944,263811.1392,270914.91,222872.1894
"23","Megalobrama amblycephala","Wuchang bream","Finfish",1978.8,3515.4,4079.4,5459.4,8337.6,9570.6,10165.8,16941.6,16613.4,17886.6,14987.4,10473.6,9445.2,10800,12005.4,15431.4,15741.6,15003,14571.6,16400.4,17458.2,18596.4,18631.2,19759.8,21313.2,22577.4,22217.4,23045.4,22864.2,24420,27060,30420,36240,42840,54360,71400,88560,104520,116940,86615.4,96969.6,91985.4,108909.6,131352.6,168975,201560.4,227488.8,243039,241833,251225.4,267549,281520.6,292746,272085.6,267742.8,286329.6,317500.2,345804.6,359773.8,369376.8,377505,384402,385694.4,398710.2,426190.8,433924.8,515012.4,500035.8,470120.4,457714.8,469042.2,458581.8,460405.8,443236.2
"24","Micropterus salmoides","Largemouth black bass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,0,49.2,31.8,43.2,59.4,52.8,39.6,40.2,51,34.2,50.4,22.8,21,5.4,4.2,314.4,220.8,141,173.4,166.2,125.4,106.8,97.8,223.2,65638.8,71068.2,84174.6,86751.6,94860,100298.7,103301.46,107690.442,118191.174,132945.384,185424.432,192214.524,192891.276,209559.072,275099.538,260516.046,287927.466,372539.97,422102.226,482245.59,534860.418
"25","Mizuhopecten yessoensis","Yesso scallop or giant Ezo scallop","Bivalve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383.08,4351.62,9680.58,16504.74,26313.42,29531.46,27261.78,34935.6,28443.66,18317.88,16967.58,24819.9,32283.72,35746.62,31074.96,45590.58,58764.3,64036.98,76437.06,75750.78,80709.72,79374.54,87444,101464.02,84171.78,95757.9,111586.02,107247.42,95275.32,90885.9,89575.5,99053.22,114255.96,108652.32,90638.94,85686.3,89403.3,104118.42,95009.46,108396.12,92801.52,50296.26,77914.2,71353.38,79041.48,105846.72,93055.62,60625.32,77090.58,67821.18,71950.62,78823.8486,84023.9442,79852.353
"26","Mugil cephalus","Flathead grey mullet","Finfish",624,709.2,818.4,966.6,1050,877.8,787.8,898.8,1107.6,1062.6,1337.4,1548,1508.4,1553.4,1993.2,1450.8,1384.2,1738.2,1741.8,2028,2307,2142.6,2256,2028.6,1969.8,2115,2183.4,2267.4,2777.4,2809.8,2820.6,2883.6,3158.4,3058.8,3168.6,3141.6,3016.2,3309.6,3274.8,3014.4,3201,3151.2,3099.6,3941.4,4258.2,5406,5406.6,5751,5152.8,4993.8,4562.4,4566,3587.4,4635.6,3456,3577.8,4087.2,4102.8,3263.46,3822.96,4359.732,4047.186,3655.908,4252.17,4692.906,4168.026,3800.172,4059.12,3850.14,3638.496,3527.856,7068.096,3583.434,3031.56
"27","Mylopharyngodon piceus","Black carp","Finfish",1012.86,1799.28,2088.45,2794.8,4268.19,4899.06,5204.04,8672.55,8504.25,9156.54,7671.93,5361.63,4834.8,5508,6145.5,7899.39,8058.51,7680.09,7459.26,8395.62,8936.73,9519.66,9537.51,10115.34,10910.43,11557.11,11373.51,11796.81,11704.5,12444,13821,15657,18462,21930,18462,24276,31161,53346,59721,19912.44,19304.52,18405.9,26666.37,33959.88,53553.57,53117.52,61377.48,65894.55,70342.77,78303.87,75983.37,84398.37,99462.24,119134.47,130586.01,143178.93,156575.61,169263.39,183769.32,194665.9545,208847.0604,225588.0654,229960.02,243712.7412,257914.8642,275991.8448,346808.6751,349216.3698,352683.207,347030.0508,354725.9712,365958.5376,381951.1584,408287.2881
