year,total_production,group
1950,181552.9133,All
1951,218478.90799999997,All
1952,243877.0173,All
1953,288899.4283999999,All
1954,354991.0956999999,All
1955,399311.3684999999,All
1956,420201.7237999999,All
1957,579051.1531000001,All
1958,570910.1869000001,All
1959,667565.3694,All
1960,685984.8290000003,All
1961,634390.4688000001,All
1962,623747.7037000001,All
1963,690809.6236000003,All
1964,773001.7738,All
1965,855173.4192999998,All
1966,928523.0573999999,All
1967,955515.4822999997,All
1968,998923.6169000001,All
1969,1063996.2707,All
1970,1126861.6531999996,All
1971,1267211.7585,All
1972,1378464.0753000001,All
1973,1446144.1360999995,All
1974,1598873.7836000004,All
1975,1657478.1632999997,All
1976,1675582.3521000003,All
1977,1933228.9295000006,All
1978,2040577.3999000003,All
1979,2106529.2909999997,All
1980,2318557.7033,All
1981,2461598.6795000006,All
1982,2637229.2103999993,All
1983,2957517.4348,All
1984,3345611.9635,All
1985,3748689.6391000007,All
1986,4172337.762,All
1987,4611641.931,All
1988,5099679.480899999,All
1989,5360281.546899998,All
1990,5547162.4144,All
1991,5953398.442800001,All
1992,6847379.941399999,All
1993,7873313.0648,All
1994,8836194.929500002,All
1995,9852788.749800004,All
1996,10996783.111,All
1997,11310656.981000002,All
1998,11490861.125099996,All
1999,12266769.206849998,All
2000,12518809.730000004,All
2001,13329347.851950001,All
2002,13985996.095730001,All
2003,15728769.6327,All
2004,17199854.03985,All
2005,18341708.30384999,All
2006,19311871.2094,All
2007,20343294.80660001,All
2008,21694730.180878,All
2009,22789512.185170997,All
2010,23747276.283192992,All
2011,24781110.53344901,All
2012,26500236.941123005,All
2013,27566827.300875,All
2014,29717945.486916997,All
2015,30916837.246398,All
2016,31938326.551637996,All
2017,33316774.030498,All
2018,34442239.34161401,All
2019,36275989.35132,All
2020,37423329.8125,All
2021,38905741.38173599,All
2022,40082176.18127099,All
2023,41852060.070837,All
1950,138860.25999999998,Finfish
1951,168669.77999999997,Finfish
1952,185253.20999999996,Finfish
1953,224049.06000000003,Finfish
1954,290582.27999999997,Finfish
1955,327610.13999999996,Finfish
1956,344693.82,Finfish
1957,481010.52,Finfish
1958,472266.78,Finfish
1959,515491.07999999996,Finfish
1960,474625.30000000005,Finfish
1961,408807.63,Finfish
1962,386685.37,Finfish
1963,420590.8700000001,Finfish
1964,465931.21,Finfish
1965,541167.25,Finfish
1966,567007.92,Finfish
1967,570406.0199999999,Finfish
1968,592814.67,Finfish
1969,632611.47,Finfish
1970,678349.5100000001,Finfish
1971,727826.6500000001,Finfish
1972,768942.8200000001,Finfish
1973,815223.7699999998,Finfish
1974,880650.06,Finfish
1975,935192.17,Finfish
1976,942109.3299999998,Finfish
1977,993471.6700000003,Finfish
1978,1016056.8899999998,Finfish
1979,1096275.0899999999,Finfish
1980,1198054.9500000002,Finfish
1981,1370452.4300000002,Finfish
1982,1540439.2699999998,Finfish
1983,1734196.7199999997,Finfish
1984,1980665.68,Finfish
1985,2345064.0900000003,Finfish
1986,2741691.61,Finfish
1987,3147472.4499999997,Finfish
1988,3464683.1499999985,Finfish
1989,3532952.1299999994,Finfish
1990,3860650.7199999997,Finfish
1991,3892911.2399999993,Finfish
1992,4272901.489999999,Finfish
1993,4941136.409999998,Finfish
1994,5736063.1,Finfish
1995,6718753.270000002,Finfish
1996,7634959.640000001,Finfish
1997,8017810.94,Finfish
1998,8214989.9399999995,Finfish
1999,8700293.52,Finfish
2000,9043638.010000002,Finfish
2001,9637753.729999999,Finfish
2002,9936701.99,Finfish
2003,10626584.969999999,Finfish
2004,11552355.506,Finfish
2005,12241335.275,Finfish
2006,12854185.4226,Finfish
2007,13584870.540000005,Finfish
2008,14743104.6688,Finfish
2009,15538752.125800004,Finfish
2010,16308354.4515,Finfish
2011,16862129.653,Finfish
2012,17965881.9723,Finfish
2013,18767280.652899995,Finfish
2014,19727479.013199996,Finfish
2015,20527541.979599994,Finfish
2016,21062948.5988,Finfish
2017,21628083.2152,Finfish
2018,22489217.554300003,Finfish
2019,23259479.525000002,Finfish
2020,23827815.2565,Finfish
2021,24632639.9118,Finfish
2022,25485891.328500006,Finfish
2023,26342553.6735,Finfish
1950,10676.710000000001,Algae
1951,11177.98,Algae
1952,16483.63,Algae
1953,15510.23,Algae
1954,17698.83,Algae
1955,22639.920000000002,Algae
1956,25935.219999999998,Algae
1957,41080.27,Algae
1958,40756.63,Algae
1959,90453.04,Algae
1960,142636.88999999998,Algae
1961,157824.1,Algae
1962,161727,Algae
1963,182571.71000000002,Algae
1964,215056.61000000002,Algae
1965,223713.05,Algae
1966,272911.91000000003,Algae
1967,292437.26,Algae
1968,304076.82999999996,Algae
1969,335641.65,Algae
1970,352911.75,Algae
1971,439387.8,Algae
1972,494296.86,Algae
1973,510607.51,Algae
1974,596444.03,Algae
1975,577423.98,Algae
1976,591080.7200000001,Algae
1977,777539.83,Algae
1978,859686.42,Algae
1979,845765.87,Algae
1980,933526.87,Algae
1981,892973.6,Algae
1982,881150.51,Algae
1983,984014.7100000001,Algae
1984,1103642.1600000001,Algae
1985,1119421.16,Algae
1986,1101161.8499999999,Algae
1987,1064172.03,Algae
1988,1211179.6099999999,Algae
1989,1362715.05,Algae
1990,1187272.41,Algae
1991,1474438.1199999999,Algae
1992,1884089.48,Algae
1993,2154251.6900000004,Algae
1994,2245408.1199999996,Algae
1995,2235067.45,Algae
1996,2448026.2900000005,Algae
1997,2375762.5000000005,Algae
1998,2283770.9300000006,Algae
1999,2457294.05,Algae
2000,2309419.71,Algae
2001,2328177.5,Algae
2002,2530295.02,Algae
2003,3113134.7,Algae
2004,3430780.602,Algae
2005,3699217.228,Algae
2006,3742207.5009999997,Algae
2007,3834175.3250000007,Algae
2008,3932701.602,Algae
2009,4098455.0525,Algae
2010,4197550.071,Algae
2011,4435317.4205,Algae
2012,4966380.885,Algae
2013,5187124.972,Algae
2014,6048148.422,Algae
2015,6302057.053,Algae
2016,6498095.327300001,Algae
2017,6898550.5528,Algae
2018,6881836.9741,Algae
2019,7645904.3622,Algae
2020,7922492.0073,Algae
2021,8234567.2961,Algae
2022,8210068.8858,Algae
2023,8768264.3532,Algae
1950,31928.3223,Bivalve
1951,38537.32000000001,Bivalve
1952,42045.1073,Bivalve
1953,49206.0684,Bivalve
1954,46605.9157,Bivalve
1955,48927.2385,Bivalve
1956,49399.623799999994,Bivalve
1957,56787.8231,Bivalve
1958,57707.6069,Bivalve
1959,61407.92940000001,Bivalve
1960,68510.36899999999,Bivalve
1961,67540.32880000002,Bivalve
1962,75117.50370000002,Bivalve
1963,87410.1836,Bivalve
1964,91755.47379999999,Bivalve
1965,90002.06929999999,Bivalve
1966,88222.4574,Bivalve
1967,92190.56230000002,Bivalve
1968,101353.04690000002,Bivalve
1969,94439.21070000001,Bivalve
1970,94209.9532,Bivalve
1971,98349.40849999999,Bivalve
1972,113149.5353,Bivalve
1973,117725.3961,Bivalve
1974,117937.4836,Bivalve
1975,139299.2833,Bivalve
1976,134704.0621,Bivalve
1977,152934.50749999998,Bivalve
1978,153965.5829,Bivalve
1979,149603.991,Bivalve
1980,170210.6303,Bivalve
1981,175637.24949999998,Bivalve
1982,181881.19040000002,Bivalve
1983,189812.1548,Bivalve
1984,199037.7035,Bivalve
1985,216997.13409999997,Bivalve
1986,230804.316,Bivalve
1987,249327.15699999998,Bivalve
1988,258879.1409,Bivalve
1989,267704.7919,Bivalve
1990,277525.85439999995,Bivalve
1991,300944.22980000003,Bivalve
1992,364044.1194,Bivalve
1993,434329.3508,Bivalve
1994,467222.5584999999,Bivalve
1995,493475.92480000004,Bivalve
1996,507843.289,Bivalve
1997,513578.695,Bivalve
1998,557766.0081,Bivalve
1999,634339.5888500002,Bivalve
2000,606345.899,Bivalve
2001,687504.0979499999,Bivalve
2002,743089.95573,Bivalve
2003,817449.4547,Bivalve
2004,856100.96785,Bivalve
2005,869683.64985,Bivalve
2006,914041.3728,Bivalve
2007,987640.6090999999,Bivalve
2008,1006603.461078,Bivalve
2009,1016006.500471,Bivalve
2010,1083804.057993,Bivalve
2011,1072251.122849,Bivalve
2012,1080497.283323,Bivalve
2013,1099506.359375,Bivalve
2014,1140857.8666269998,Bivalve
2015,1137370.1363980002,Bivalve
2016,1218012.7357380001,Bivalve
2017,1236757.017848,Bivalve
2018,1234069.9157639998,Bivalve
2019,1225563.4607199999,Bivalve
2020,1263773.94054,Bivalve
2021,1283181.890736,Bivalve
2022,1296187.835771,Bivalve
2023,1283118.760247,Bivalve
1950,87.621,Crustacean
1951,93.828,Crustacean
1952,95.07,Crustacean
1953,134.07,Crustacean
1954,104.07,Crustacean
1955,134.07,Crustacean
1956,173.06,Crustacean
1957,172.54,Crustacean
1958,179.17000000000002,Crustacean
1959,213.32,Crustacean
1960,212.27,Crustacean
1961,218.41000000000003,Crustacean
1962,217.82999999999998,Crustacean
1963,236.86,Crustacean
1964,258.48,Crustacean
1965,291.05,Crustacean
1966,380.77,Crustacean
1967,481.64,Crustacean
1968,679.07,Crustacean
1969,1303.94,Crustacean
1970,1390.44,Crustacean
1971,1647.9,Crustacean
1972,2074.86,Crustacean
1973,2587.4599999999996,Crustacean
1974,3842.21,Crustacean
1975,5562.73,Crustacean
1976,7688.24,Crustacean
1977,9282.922,Crustacean
1978,10868.507000000001,Crustacean
1979,14884.34,Crustacean
1980,16765.253,Crustacean
1981,22535.399999999998,Crustacean
1982,33758.240000000005,Crustacean
1983,49493.85,Crustacean
1984,62266.42,Crustacean
1985,67207.25499999999,Crustacean
1986,98679.986,Crustacean
1987,150670.29400000002,Crustacean
1988,164937.58,Crustacean
1989,196909.57499999998,Crustacean
1990,221713.43,Crustacean
1991,285104.853,Crustacean
1992,326344.852,Crustacean
1993,343595.614,Crustacean
1994,387501.151,Crustacean
1995,405492.10500000004,Crustacean
1996,405953.89200000005,Crustacean
1997,403504.84599999996,Crustacean
1998,434334.24700000003,Crustacean
1999,474842.048,Crustacean
2000,559406.111,Crustacean
2001,675912.5240000001,Crustacean
2002,775909.13,Crustacean
2003,1171600.508,Crustacean
2004,1360616.9639999997,Crustacean
2005,1531472.151,Crustacean
2006,1801436.913,Crustacean
2007,1936608.3325,Crustacean
2008,2012320.449,Crustacean
2009,2136298.5064,Crustacean
2010,2157567.7027,Crustacean
2011,2411412.3371,Crustacean
2012,2487476.8005000004,Crustacean
2013,2512915.3166000005,Crustacean
2014,2801460.1850900007,Crustacean
2015,2949868.0774000003,Crustacean
2016,3159269.8898,Crustacean
2017,3553383.24465,Crustacean
2018,3837114.89745,Crustacean
2019,4145042.0034,Crustacean
2020,4409248.60816,Crustacean
2021,4755352.2831,Crustacean
2022,5090028.1312,Crustacean
2023,5458123.28389,Crustacean
